status,family,pval,qval,G,gene_short_name,id,ensembl_gene_id,hgnc_symbol,entrezgene,iqr_count,num_cells_expressed
OK,negbinomial.size,5.69042326835812e-08,5.14245658325697e-07,G21110,SLC39A11,NM_139177+NM_001159770,ENSG00000133195,SLC39A11,201266,2.96962635095648,1222
OK,negbinomial.size,0.200232367123588,0.26467025042339,G21111,LINC00673,NR_036488,NA,NA,NA,3.05062607306997,1126
OK,negbinomial.size,0.0568014584055321,0.0909398564841572,G21114,HN1,NM_001002032+NM_001002033+NM_001288609+NM_001288610+NM_016185+NR_109933+NM_001288611,NA,NA,NA,2.98185265328974,1338
OK,negbinomial.size,2.76775547957035e-09,3.58357879321732e-08,G21118,SLC9A3R1,NM_004252,ENSG00000109062,SLC9A3R1,9368,2.88929653559378,1857
OK,negbinomial.size,0.535788610974437,0.600359883316026,G21121,SRP68,NM_014230+NR_048541+NM_001260502+NM_001260503,ENSG00000167881,SRP68,6730,2.71271804791953,1478
OK,negbinomial.size,0.496404997058878,0.564071027494972,G21122,RNF157,NM_052916,ENSG00000141576,RNF157,114804,3.04439411935845,483
OK,negbinomial.size,0.641658092032043,0.695591889393046,G21123,RECQL5,NM_004259+NM_001003715+NM_001003716,ENSG00000108469,RECQL5,9400,2.52356195605701,657
OK,negbinomial.size,0.00155962972651051,0.00394181467458241,G21124,LLGL2,NM_004524+NM_001031803+NM_001015002,ENSG00000073350,LLGL2,3993,2.55458885167764,1756
OK,negbinomial.size,0.122750125040692,0.175512849044562,G21125,PRPSAP1,NM_002766,ENSG00000161542,PRPSAP1,5635,2.58496250072116,1333
OK,negbinomial.size,1.23395050704872e-06,7.66778375862947e-06,G21126,UNK,NM_001080419+NR_038131,ENSG00000132478,UNK,85451,2.83266795859259,939
OK,negbinomial.size,0.553835579320027,0.616754361675244,G21127,SEPT9,NM_001113491+NM_001293695+NM_001113492+NM_006640+NM_001113493+NM_001113494+NM_001293696+NM_001113496+NM_001293697+NM_001293698+NM_001113495,ENSG00000184640,SEPT9,10801,2.40209844357135,1097
