status,family,pval,qval,G,gene_short_name,id,ensembl_gene_id,hgnc_symbol,entrezgene,iqr_count,num_cells_expressed,use_for_ordering
OK,negbinomial.size,0.455293065447856,0.800891757609961,G10217,ZNF746,NM_001163474+NM_152557,ENSG00000181220,ZNF746,155061,2.41503749927884,686,FALSE
OK,negbinomial.size,0.455562292339883,0.800891757609961,G12455,MID2,NM_012216+NM_052817,ENSG00000080561,MID2,11043,2.88243579536805,612,FALSE
OK,negbinomial.size,0.455201721050114,0.800891757609961,G14302,DNAJC9,NM_015190,ENSG00000213551,DNAJC9,23234,2.39231742277876,813,FALSE
OK,negbinomial.size,0.455713442494724,0.800891757609961,G14590,SEC23IP,NR_037771+NM_007190,ENSG00000107651,SEC23IP,11196,2.72246602447109,1139,FALSE
OK,negbinomial.size,0.455694989152137,0.800891757609961,G15753,YIF1A,NM_020470,ENSG00000174851,YIF1A,10897,2.79646660591487,1972,FALSE
OK,negbinomial.size,0.455660080836144,0.800891757609961,G19538,SNX1,NM_148955+NM_001242933+NM_003099,ENSG00000028528,SNX1,6642,2.56844277097366,1700,FALSE
OK,negbinomial.size,0.455630310332101,0.800891757609961,G274,HSPB11,NM_016126,ENSG00000081870,HSPB11,51668,2.8073549220576,1518,FALSE
OK,negbinomial.size,0.456051994502887,0.801199541858917,G22880,SUGP1,NM_172231,ENSG00000105705,SUGP1,57794,2.90689059560852,977,FALSE
OK,negbinomial.size,0.456154812267926,0.801199541858917,G359,SLC44A3,NM_001258343+NM_001258342+NM_001258341+NM_001258340+NM_001114106+NM_152369,ENSG00000143036,SLC44A3,126969,2.66296501272243,898,FALSE
OK,negbinomial.size,0.456118638985885,0.801199541858917,G9157,SNX13,NM_015132,ENSG00000071189,SNX13,23161,2.76553474636298,1209,FALSE
OK,negbinomial.size,0.456298536339707,0.801296087546172,G18052,DCUN1D2,NM_001014283,ENSG00000150401,DCUN1D2,55208,2.4594316186373,587,FALSE
OK,negbinomial.size,0.456548367847316,0.8014230342068,G16402,KIF21A,NM_001173465+NM_001173463+NM_017641+NM_001173464,ENSG00000139116,KIF21A,55605,2.78427130894456,1560,FALSE
OK,negbinomial.size,0.456466631710101,0.8014230342068,G19421,LRRC57,NM_153260,ENSG00000180979,LRRC57,255252,2.52356195605701,640,FALSE
OK,negbinomial.size,0.456834164339395,0.801768824972017,G14057,HSPA14,NR_103464+NM_001278205+NM_016299,ENSG00000187522,HSPA14,51182,2.63226821549951,1003,FALSE
OK,negbinomial.size,0.457492360084318,0.801879411619947,G13923,GBF1,NM_001199378+NM_004193+NM_001199379,ENSG00000107862,GBF1,8729,2.77760757866355,1439,FALSE
OK,negbinomial.size,0.457581075915367,0.801879411619947,G16379,ETNK1,NM_018638+NM_001039481,ENSG00000139163,ETNK1,55500,3.07892608457087,1762,FALSE
OK,negbinomial.size,0.457607745753873,0.801879411619947,G18182,MTHFD1,NM_005956,ENSG00000100714,MTHFD1,4522,2.43295940727611,1016,FALSE
OK,negbinomial.size,0.457428895327668,0.801879411619947,G19050,ANXA2,NM_001136015+NM_004039+NM_001002858+NM_001002857,ENSG00000182718,ANXA2,302,4.02974734339405,1707,FALSE
OK,negbinomial.size,0.456999025459325,0.801879411619947,G20767,MAF,NM_005360+NM_001031804,ENSG00000178573,MAF,4094,3.16992500144231,635,FALSE
OK,negbinomial.size,0.457151468912708,0.801879411619947,G21303,PHF23,NM_001284517+NM_024297+NM_001284518,ENSG00000040633,PHF23,79142,2.63226821549951,1047,FALSE
OK,negbinomial.size,0.457563509472906,0.801879411619947,G25807,SNRPD3,NM_004175+NM_001278656+NR_103819,ENSG00000100028,SNRPD3,6634,2.3037807481771,1931,FALSE
OK,negbinomial.size,0.457361228054624,0.801879411619947,G8509,HLA-DPB1,NM_002121,ENSG00000236693,HLA-DPB1,3115,3.24792751344359,462,FALSE
OK,negbinomial.size,0.457866863942641,0.802177769779578,G17356,TCTN1,NM_001173976+NM_001082537+NM_001082538+NM_024549+NM_001173975,ENSG00000204852,TCTN1,79600,2.89308479608349,1375,FALSE
OK,negbinomial.size,0.458040409145007,0.802326118308329,G6363,CXXC4,NM_025212,ENSG00000168772,CXXC4,80319,3.17785221637415,1089,FALSE
OK,negbinomial.size,0.458218232782836,0.802326261746208,G14419,NOC3L,NM_022451,ENSG00000173145,NOC3L,64318,2.58496250072116,676,FALSE
OK,negbinomial.size,0.458152442461813,0.802326261746208,G18484,NEMF,NM_004713,ENSG00000165525,NEMF,9147,2.76553474636298,1756,FALSE
OK,negbinomial.size,0.458392153723692,0.802475152960538,G25788,SLC2A11,NM_030807+NR_104248+NR_104247+NM_001024938+NM_001282864+NM_001024939,ENSG00000275744,SLC2A11,66035,2.32192809488736,750,FALSE
OK,negbinomial.size,0.458622758430727,0.802484044553696,G16457,TSFM,NM_001172697+NM_005726+NM_001172695+NM_001172696,ENSG00000123297,TSFM,10102,2.62449086490779,1130,FALSE
OK,negbinomial.size,0.458663897861882,0.802484044553696,G20883,ABR,NM_001159746+NM_021962+NM_001092+NM_001256847+NM_001282149,ENSG00000159842,ABR,29,2.64378498059589,1382,FALSE
OK,negbinomial.size,0.458541415191065,0.802484044553696,G4459,CHDH,NM_018397,ENSG00000016391,CHDH,55349,2.96347412397489,1040,FALSE
