status,family,pval,qval,G,gene_short_name,id,ensembl_gene_id,hgnc_symbol,entrezgene,iqr_count,num_cells_expressed,use_for_ordering
OK,negbinomial.size,4.05953522846411e-143,3.6649484042574e-139,G5573,SST,NM_001048,ENSG00000157005,SST,6750,2.72246602447109,1456,TRUE
OK,negbinomial.size,4.67611218715602e-134,2.11079704128223e-130,G22854,MAST1,NM_014975,ENSG00000105613,MAST1,22983,2.91730272273871,801,TRUE
OK,negbinomial.size,7.6652199224784e-100,2.3067201820045e-96,G8897,TAAR5,NM_003967,ENSG00000135569,TAAR5,9038,4.08746284125034,1267,TRUE
OK,negbinomial.size,2.84347743265772e-64,6.41772856550848e-61,G21888,PPY,NM_002722,ENSG00000108849,PPY,5539,3.7279204545632,1389,TRUE
OK,negbinomial.size,3.55538224603917e-53,6.41959818344833e-50,G6025,C4orf48,NM_001168243+NM_001141936,ENSG00000243449,C4orf48,401115,3.70834491622644,2049,TRUE
OK,negbinomial.size,9.92019011122246e-44,1.49265793873527e-40,G24941,TGM2,NM_004613+NM_198951,ENSG00000198959,TGM2,7052,4.64744492352011,538,TRUE
OK,negbinomial.size,5.0568720463801e-43,6.52192011924565e-40,G15074,INS,NM_001185097+NM_000207+NM_001185098+NM_001291897,ENSG00000254647,INS,3630,3.87446911791614,1700,TRUE
OK,negbinomial.size,3.36249726601542e-42,3.7945781646984e-39,G12753,PCSK1N,NM_013271,ENSG00000102109,PCSK1N,27344,5.03268861870617,1766,TRUE
OK,negbinomial.size,1.21439516047542e-34,1.21817327875246e-31,G15031,POLR2L,NM_021128,ENSG00000177700,POLR2L,5441,3.33138473276352,2111,TRUE
OK,negbinomial.size,2.43520867403558e-34,2.19850639091932e-31,G9801,HSPB1,NM_001540,ENSG00000106211,HSPB1,3315,3.70659194512269,2005,TRUE
OK,negbinomial.size,8.91946075544156e-33,7.32044470001149e-30,G14413,RBP4,NM_006744,ENSG00000138207,RBP4,5950,5.83370620764864,957,TRUE
OK,negbinomial.size,2.68520269962498e-32,2.02016749768453e-29,G1892,DPM3,NM_153741+NM_018973,ENSG00000179085,DPM3,54344,3.35755200461808,1850,TRUE
OK,negbinomial.size,1.98770289469348e-31,1.38038321025329e-28,G448,ZNF687,NM_020832,ENSG00000143373,ZNF687,57592,3.54432051622381,714,TRUE
OK,negbinomial.size,4.47945195034346e-31,2.88860658626434e-28,G24310,NDUFA3,NM_004542,ENSG00000276061,NDUFA3,4696,2.9870609442925,2093,TRUE
OK,negbinomial.size,9.08434916156958e-30,5.46756694871001e-27,G23506,GDF15,NM_004864,ENSG00000130513,GDF15,9518,6.34760993209138,867,FALSE
OK,negbinomial.size,2.50067747994718e-27,1.4110072680602e-24,G8458,CFB,NM_001710,ENSG00000243570,CFB,629,7.12064208506146,803,TRUE
OK,negbinomial.size,1.30097057222315e-25,6.90891901531212e-23,G2452,AGT,NM_000029,ENSG00000135744,AGT,183,4.28076331206824,1104,TRUE
OK,negbinomial.size,3.99617122436491e-24,2.00430187853147e-21,G23216,TRAPPC5,NM_174894+NM_001042462+NM_001042461,ENSG00000181029,TRAPPC5,126003,2.79255792012952,1987,FALSE
OK,negbinomial.size,4.33893948175193e-24,2.06168134953981e-21,G12051,C9orf16,NM_024112,ENSG00000171159,C9orf16,79095,3.22706890854592,1829,TRUE
OK,negbinomial.size,5.7680157671467e-24,2.50005827653498e-21,G23041,ATP5D,NM_001687+NM_001001975,NA,NA,NA,2.96578428466209,1998,TRUE
OK,negbinomial.size,5.81537702782838e-24,2.50005827653498e-21,G9819,CD36,NM_001001547+NM_001289911+NM_000072+NM_001001548+NR_110501+NM_001289909+NM_001127443+NM_001127444+NM_001289908,ENSG00000135218,CD36,948,4.32788978037595,486,TRUE
OK,negbinomial.size,7.87808241101008e-24,3.2328785457545e-21,G20187,TCEB2,NM_207013+NM_007108,NA,NA,NA,2.98032760340564,2174,FALSE
OK,negbinomial.size,8.58888260786798e-24,3.37132313842748e-21,G20581,MT2A,NM_005953,ENSG00000125148,MT2A,4502,3.74416109557041,1098,TRUE
OK,negbinomial.size,1.19967000083627e-22,4.51275865314578e-20,G24918,ROMO1,NM_080748,ENSG00000125995,ROMO1,140823,2.92599941855622,2153,FALSE
OK,negbinomial.size,2.92314430033938e-22,1.05560586973856e-19,G18509,GMFB,NM_004124,ENSG00000197045,GMFB,2764,3.05889368905357,1592,TRUE
OK,negbinomial.size,3.25206805571301e-22,1.12921809257604e-19,G25106,ATP5E,NM_006886,NA,NA,NA,3.09515723304034,2139,FALSE
OK,negbinomial.size,3.4492505234745e-22,1.15332717503436e-19,G612,SRP9,NM_001130440+NM_003133,ENSG00000143742,SRP9,6726,2.4594316186373,2080,FALSE
OK,negbinomial.size,1.65590099097486e-21,5.33909790947181e-19,G735,C1orf86,NM_001146310+NM_001256945+NM_001282671+NM_001282672+NM_001282673+NR_046427+NM_001256947+NM_182533+NM_001282670+NM_001256946,NA,NA,NA,2.87446911791614,1665,TRUE
OK,negbinomial.size,1.88986400533484e-21,5.88334215178032e-19,G23282,ICAM1,NM_000201,ENSG00000090339,ICAM1,3383,3.78133321726135,507,TRUE
