status,family,pval,qval,G,gene_short_name,id,ensembl_gene_id,hgnc_symbol,entrezgene,iqr_count,num_cells_expressed
OK,negbinomial.size,0.000108315315118253,0.000229607401445206,G4087,ZFAND2B,NM_001270998+NM_001270999+NM_138802,ENSG00000158552,ZFAND2B,130617,2.75488750216347,1552
OK,negbinomial.size,0.00192302245240693,0.00318434458920209,G4088,ANKZF1,NM_018089+NM_001282792+NM_001042410,ENSG00000163516,ANKZF1,55139,2.58496250072116,1009
OK,negbinomial.size,7.57744125847371e-21,1.19805848829248e-19,G4090,PTPRN,NM_001199764+NM_002846+NM_001199763,ENSG00000054356,PTPRN,5798,3.08242605451328,1648
OK,negbinomial.size,2.58528594141508e-06,7.27101603710136e-06,G4091,DNAJB2,NM_001039550+NM_006736,ENSG00000135924,DNAJB2,3300,2.24792751344359,1268
OK,negbinomial.size,5.32342451111902e-07,1.68571997496957e-06,G4092,ATG9A,NR_104255+NM_024085+NM_001077198,ENSG00000198925,ATG9A,79065,2.71620703399941,1276
OK,negbinomial.size,2.29982744760553e-05,5.47543306882457e-05,G4093,TUBA4A,NM_001278552+NM_006000,ENSG00000127824,TUBA4A,7277,2.89672172250815,1781
OK,negbinomial.size,2.79322277640689e-28,8.24092000830112e-27,G4095,STK16,NM_001008910+NR_026909,ENSG00000115661,STK16,8576,2.26303440583379,824
OK,negbinomial.size,0.40960898495304,0.432003494878043,G4097,ABCB6,NM_005689,ENSG00000115657,ABCB6,10058,2.84799690655495,813
OK,negbinomial.size,1.31949976345653e-05,3.28800548288312e-05,G4099,DNPEP,NM_012100,ENSG00000123992,DNPEP,23549,2.49185309632967,1320
OK,negbinomial.size,7.92582786808394e-08,2.79618499386721e-07,G4100,OBSL1,NM_015311+NM_001173431+NM_001173408,ENSG00000124006,OBSL1,23363,2.61890983264449,1447
OK,negbinomial.size,2.80273552851924e-42,2.10859136262264e-40,G4103,CHPF,NM_024536+NM_001195731,ENSG00000123989,CHPF,79586,2.97575245375332,1795
OK,negbinomial.size,0.00433721756627141,0.00670371514951177,G4105,GMPPA,NM_013335+NM_205847,ENSG00000144591,GMPPA,29926,2.74723392962003,1365
OK,negbinomial.size,7.75515813462281e-12,4.83853266339839e-11,G4107,TMEM198,NM_001005209,ENSG00000188760,TMEM198,130612,2.58496250072116,632
OK,negbinomial.size,2.92862471653987e-09,1.27851179598269e-08,G4113,SCG2,NM_003469,ENSG00000171951,SCG2,7857,4.39633381793891,1684
OK,negbinomial.size,9.67404720934936e-06,2.45674537850931e-05,G4114,SERPINE2,NM_001136530+NM_001136528+NM_006216+NR_073116,ENSG00000135919,SERPINE2,5270,3.10851515480047,1183
OK,negbinomial.size,0.414225201679235,0.436668043059333,G4115,MRPL44,NM_022915,ENSG00000135900,MRPL44,65080,2.56650961404106,1097
OK,negbinomial.size,1.79731825263776e-09,8.09690079082519e-09,G412,ATP1A1,NM_000701+NM_001160233+NM_001160234,ENSG00000163399,ATP1A1,476,2.52083216330144,2041
OK,negbinomial.size,1.88161198979563e-09,8.45133982282336e-09,G4123,AGFG1,NM_001135187+NM_001135188+NM_001135189+NM_004504,ENSG00000173744,AGFG1,3267,2.53605290024021,1199
OK,negbinomial.size,0.0974317036393302,0.114997178775771,G4138,NCL,NM_005381,ENSG00000115053,NCL,4691,2.22571277962806,2062
OK,negbinomial.size,2.7749984693375e-06,7.76121773280623e-06,G4139,B3GNT7,NM_145236,ENSG00000156966,B3GNT7,93010,3.32192809488736,538
