pval,qval,G,gene_short_name,ensembl_gene_id,entrezgene,iqr_count,num_cells_expressed,use_for_ordering
3.40778956200442E-018,6.40948420120332E-016,G20200,HCFC1R1,ENSG00000103145,54985,2.9475325801,1628,TRUE
4.12354480816487E-018,7.59742092410458E-016,G10246,TMUB1,ENSG00000164897,83590,2.6844981743,1445,TRUE
7.0192148140158E-018,1.26738942681869E-015,G25929,CDC42EP1,ENSG00000128283,11135,3.0356239097,621,TRUE
7.94122560549046E-018,1.4057526424778E-015,G23974,TMEM160,ENSG00000130748,54958,2.981737062,1574,TRUE
1.44189988872861E-017,2.50336003758497E-015,G16415,ANO6,ENSG00000177119,196527,3.4150374993,734,TRUE
1.65886931546762E-017,2.82571173208334E-015,G12051,C9orf16,ENSG00000171159,79095,3.2270689085,1829,TRUE
2.04267694196086E-017,3.41505322815234E-015,G15811,NDUFS8,ENSG00000110717,4728,2.7100339402,2064,TRUE
2.66130399495491E-017,4.36840953935507E-015,G25164,PPDPF,ENSG00000125534,NA,2.7655347464,1731,TRUE
3.20724077617061E-017,5.17053030844076E-015,G23507,FKBP8,ENSG00000105701,23770,2.7608123361,1818,TRUE
3.99938419517276E-017,6.33446324807362E-015,G24923,SCAND1,ENSG00000171222,51282,2.9341120643,2001,TRUE
4.50656215038099E-017,7.01469708511027E-015,G10221,ATP6V0E2,ENSG00000171130,155066,2.9818526533,1734,TRUE
6.67420794938556E-017,1.02126693842462E-014,G3308,PPP1CB,ENSG00000213639,5500,2.7693870719,2145,TRUE
1.05504622199225E-016,1.58749288202434E-014,G23048,NDUFS7,ENSG00000115286,374291,2.7441610956,2057,TRUE
1.11748557855013E-016,1.65387865625419E-014,G23506,GDF15,ENSG00000130513,9518,6.3476099321,867,TRUE
3.36514861277915E-016,4.90009059293068E-014,G25002,WFDC2,ENSG00000101443,10406,3.2016338612,716,TRUE
4.85158261392244E-016,6.95239489499869E-014,G24380,EPN1,ENSG00000063245,29924,2.5849625007,1214,TRUE
4.95088353981163E-016,6.98384009334679E-014,G6002,ATP5I,ENSG00000169020,521,2.9205655325,2170,FALSE
5.96780382900737E-016,8.163232267921E-014,G15090,SLC22A18,ENSG00000110628,5002,3.1699250014,680,FALSE
5.95880136597482E-016,8.163232267921E-014,G16675,PTMS,ENSG00000159335,5763,2.9068251643,1668,TRUE
7.44182050735573E-016,1.00275754537922E-013,G17258,SOCS2,ENSG00000120833,8835,3.0703893279,521,TRUE
1.75550656633489E-015,2.33069312953991E-013,G23681,COX7A1,ENSG00000161281,1346,3.1926450779,934,TRUE
1.93154001867723E-015,2.52723815777073E-013,G6707,ITGA2,ENSG00000164171,3673,3.2777578281,570,FALSE
2.77646290653277E-015,3.58084387431111E-013,G24370,RPL28,ENSG00000108107,6158,2.8073549221,2058,TRUE
3.29070986699981E-015,4.18429981398229E-013,G13480,UTY,ENSG00000183878,7404,2.6438561898,520,TRUE
4.37459858160887E-015,5.48526055482845E-013,G22815,NFIC,ENSG00000141905,4782,2.9307373376,1783,TRUE
7.62917815069028E-015,9.43509867731943E-013,G8028,NCOA7,ENSG00000111912,135112,3.2016338612,1129,FALSE
1.13577570647609E-014,1.38564636190082E-012,G18509,GMFB,ENSG00000197045,2764,3.0588936891,1592,TRUE
1.20784981349496E-014,1.45392908216433E-012,G12753,PCSK1N,ENSG00000102109,27344,5.0326886187,1766,TRUE
1.8772034615829E-014,2.22992011199611E-012,G25106,ATP5E,ENSG00000124172,514,3.095157233,2139,FALSE
1.91147980407005E-014,2.24114800923953E-012,G22808,RNF126,ENSG00000070423,55658,2.9423698817,1185,TRUE
1.95636071530136E-014,2.26436212022316E-012,G7009,NDUFS6,ENSG00000145494,4726,2.6629650127,2053,FALSE
2.17632938057393E-014,2.48707615795208E-012,G6747,MAP1B,ENSG00000131711,4131,3.0921698439,1766,FALSE
3.36180992946895E-014,3.79380250540571E-012,G12016,RPL35,ENSG00000136942,11224,2.7142455177,2156,FALSE
3.59466284090329E-014,4.00649581823146E-012,G23433,WIZ,ENSG00000011451,58525,2.5235619561,699,FALSE
4.58123174501123E-014,5.04382441389773E-012,G20091,FAM195A,NA,NA,2.5849625007,1247,TRUE
5.40178484591655E-014,5.87557995047405E-012,G23049,GAMT,ENSG00000130005,2593,3,1660,FALSE
6.48960282439774E-014,6.97477789269795E-012,G13490,KDM5D,ENSG00000012817,8284,3.1699250014,584,TRUE
6.67408373951705E-014,7.0886621176894E-012,G6327,SPP1,ENSG00000118785,6696,6.787440955,967,TRUE
1.19291718587389E-013,1.25228562256622E-011,G21888,PPY,ENSG00000108849,5539,3.7279204546,1389,TRUE
1.28084175716446E-013,1.32913096364147E-011,G15700,SYVN1,ENSG00000162298,84447,3.4329594073,1220,TRUE
1.34773217862065E-013,1.38265069415764E-011,G23689,ZNF260,ENSG00000254004,339324,2.9541963104,793,FALSE
1.51964046413791E-013,1.54149596744236E-011,G21346,NAA38,ENSG00000183011,84316,2.9657688408,2008,FALSE
2.26653572987083E-013,2.27358717436376E-011,G2277,ZBED6,ENSG00000257315,9877,3.3923174228,591,TRUE
2.40613867815481E-013,2.38710109740457E-011,G14847,FADS2,ENSG00000134824,9415,3.2801079192,1304,TRUE
2.45550213335911E-013,2.40959491956152E-011,G23867,ZNF428,ENSG00000131116,126299,2.6438561898,1389,TRUE
3.18323776977347E-013,3.09013662209837E-011,G22339,SLC25A10,ENSG00000183048,1468,2.5360529002,787,FALSE
3.9091270358087E-013,3.75442541268946E-011,G16684,ATN1,ENSG00000111676,1822,3.0356239097,1420,TRUE
3.98910226610301E-013,3.79090686930294E-011,G25281,COL18A1,ENSG00000182871,80781,3.447458977,511,FALSE
4.09009907134583E-013,3.84639733501147E-011,G22338,MRPL12,ENSG00000262814,6182,2.8073549221,1441,FALSE
4.24490036901632E-013,3.95082067334839E-011,G25780,CHCHD10,ENSG00000250479,400916,2.2730184944,1525,TRUE
4.61951401021508E-013,4.25560943716548E-011,G23089,TIMM13,ENSG00000099800,26517,2.8694158902,1913,FALSE
5.00689118913974E-013,4.56588016722763E-011,G22351,ANAPC11,ENSG00000141552,51529,2.708951218,2131,FALSE
5.48808032390838E-013,4.95463891642449E-011,G12302,FHL1,ENSG00000022267,2273,2.7441610956,1036,FALSE
5.89552971045613E-013,5.2697863590097E-011,G14323,COMTD1,ENSG00000165644,118881,2.8073549221,1627,FALSE
6.16474656407837E-013,5.45640509612741E-011,G13876,PTEN,ENSG00000171862,5728,3.1154772174,1920,TRUE
7.82713357601788E-013,6.86052057517373E-011,G23037,GPX4,ENSG00000167468,2879,2.6261851634,2160,FALSE
8.41331352810425E-013,7.30340332035819E-011,G15648,COX8A,ENSG00000176340,1351,2.5849625007,2178,FALSE
1.01896979950379E-012,8.76119938087643E-011,G24512,ATRN,ENSG00000088812,8455,3.022367813,1343,TRUE
1.0992926118288E-012,9.36265443357586E-011,G12536,HCFC1,ENSG00000172534,3054,2.9068905956,1345,FALSE
1.11342639970408E-012,9.39440517432567E-011,G25789,LOC284889,NA,NA,2.6892558116,2137,FALSE
1.24566670103014E-012,1.04128509045371E-010,G9864,PDK4,ENSG00000004799,5166,4.5313814605,1430,FALSE
