status,family,pval,qval,G,gene_short_name,id,ensembl_gene_id,hgnc_symbol,entrezgene,iqr_count,num_cells_expressed
OK,negbinomial.size,0.875006549624828,1,G5452,MLF1,NM_001195432+NM_022443+NM_001195434+NM_001195433+NM_001130156+NM_001130157,ENSG00000178053,MLF1,4291,2.65517006030608,748
OK,negbinomial.size,0.0775021445054251,0.359737460460143,G5453,LOC100996447,NR_104147,NA,NA,NA,2.58496250072116,1031
OK,negbinomial.size,0.909010680869405,1,G5454,LXN,NM_020169,ENSG00000079257,LXN,56925,2.90689059560852,624
OK,negbinomial.size,0.335794205154465,0.88024102326786,G5455,GFM1,NM_024996,ENSG00000168827,GFM1,85476,2.8073549220576,1308
OK,negbinomial.size,0.294803534913038,0.829556726793683,G5457,MFSD1,NM_022736+NM_001167903+NM_001289406+NR_110328+NM_001289407,ENSG00000118855,MFSD1,64747,2.79178600193251,1595
OK,negbinomial.size,0.148659660134942,0.569822679582581,G5464,SMC4,NM_001288753+NM_001002800+NM_005496,ENSG00000113810,SMC4,10051,2.95419631038687,932
OK,negbinomial.size,0.066390217532866,0.323411165396319,G5466,TRIM59,NM_173084,ENSG00000213186,TRIM59,286827,3.12928301694497,557
OK,negbinomial.size,0.0812977260508909,0.373091864980756,G5468,KPNA4,NM_002268,ENSG00000186432,KPNA4,3840,2.64385618977472,1077
OK,negbinomial.size,0.604821133173656,1,G547,CDC73,NM_024529,ENSG00000134371,CDC73,79577,2.61890983264449,1409
OK,negbinomial.size,0.546323532951049,1,G5471,B3GALNT1,NM_033168+NM_033167+NM_003781+NM_001038628+NM_033169,ENSG00000169255,B3GALNT1,8706,2.88752527074159,672
OK,negbinomial.size,0.00273638772676361,0.0334358648198827,G5475,PDCD10,NM_007217+NM_145859+NM_145860,ENSG00000114209,PDCD10,11235,2.83650126771712,1586
OK,negbinomial.size,0.0613093735388969,0.308013925603318,G5479,MYNN,NR_033703+NM_018657+NM_001185118+NR_033702+NM_001185119,ENSG00000085274,MYNN,55892,2.90689059560852,890
OK,negbinomial.size,0.904443892870811,1,G548,GLRX2,NM_016066+NM_197962+NM_001243399,ENSG00000023572,GLRX2,51022,2.52356195605701,935
OK,negbinomial.size,0.955773697130647,1,G5486,SEC62,NM_003262,ENSG00000008952,SEC62,7095,2.34395440121736,2131
OK,negbinomial.size,1.15031493268166e-14,1.48357760175e-12,G5488,SKIL,NM_001145098+NM_005414+NM_001145097+NM_001248008,ENSG00000136603,SKIL,6498,3.29278174922785,1268
OK,negbinomial.size,0.850624324704914,1,G5491,EIF5A2,NM_020390,ENSG00000163577,EIF5A2,56648,2.56434696067316,477
OK,negbinomial.size,7.10511484493248e-05,0.00164053649156139,G5492,RPL22L1,NM_001099645,ENSG00000163584,RPL22L1,200916,2.24792751344359,911
