status,family,pval,qval,G,gene_short_name,id,ensembl_gene_id,hgnc_symbol,entrezgene,iqr_count,num_cells_expressed,use_for_ordering
OK,negbinomial.size,0.986086021681788,1,G1335,TXNDC12,NM_015913+NR_046406+NR_046405,ENSG00000117862,TXNDC12,51060,2.73696559416621,1774,FALSE
OK,negbinomial.size,0.482146714966831,1,G13355,NSDHL,NM_015922+NM_001129765,ENSG00000147383,NSDHL,50814,2.8073549220576,914,FALSE
OK,negbinomial.size,0.716565757998469,1,G13356,CETN2,NM_004344,ENSG00000147400,CETN2,1069,2.55458885167764,1518,FALSE
OK,negbinomial.size,0.678366666496414,1,G13366,ZNF275,NM_001080485,ENSG00000063587,ZNF275,10838,3.08746284125034,693,FALSE
OK,negbinomial.size,0.831447716712204,1,G13371,FAM58A,NM_001130997+NM_152274,NA,NA,NA,2.15087135161324,912,FALSE
OK,negbinomial.size,0.761424487981848,1,G13374,BCAP31,NM_001256447+NM_001139441+NM_001139457+NM_005745,ENSG00000185825,BCAP31,10134,2.23840473932508,2027,FALSE
OK,negbinomial.size,0.865271477993244,1,G13377,IDH3G,NM_174869+NM_004135,ENSG00000067829,IDH3G,3421,2.51937415909358,1733,FALSE
OK,negbinomial.size,0.744536412014315,1,G13384,TMEM187,NM_003492,ENSG00000177854,TMEM187,8269,2.48542682717024,715,FALSE
OK,negbinomial.size,0.585556732103248,1,G13386,IRAK1,NM_001025243+NM_001025242+NM_001569,ENSG00000184216,IRAK1,3654,2.52347915026244,1280,FALSE
OK,negbinomial.size,0.808163746900637,1,G13399,SLC10A3,NM_019848+NM_001142392+NM_001142391,ENSG00000126903,SLC10A3,8273,2.37851162325373,734,FALSE
OK,negbinomial.size,0.995792143765363,1,G1340,GPX7,NM_015696,ENSG00000116157,GPX7,2882,2.48542682717024,799,FALSE
OK,negbinomial.size,0.83988235933927,1,G13400,GDI1,NM_001493,ENSG00000203879,GDI1,2664,2.67241424849872,2014,FALSE
OK,negbinomial.size,0.744414588432117,1,G13401,TAZ,NM_181311+NM_000116+NM_181313+NM_181312+NR_024048,ENSG00000102125,TAZ,6901,2.21698399733569,887,FALSE
OK,negbinomial.size,0.810631701814327,1,G13402,LOC158960,NR_103768,NA,NA,NA,2.79423806708407,803,FALSE
OK,negbinomial.size,0.650556458148549,1,G13406,RPL10,NM_006013+NM_001256580+NM_001256577,ENSG00000147403,RPL10,6134,1.91753783980803,2027,FALSE
OK,negbinomial.size,0.815771699724039,1,G13407,PLXNA3,NM_017514,ENSG00000130827,PLXNA3,55558,2.58496250072116,903,FALSE
OK,negbinomial.size,0.739325504074128,1,G13408,DNASE1L1,NM_006730+NM_001009933+NM_001009934+NM_001009932,ENSG00000013563,DNASE1L1,1774,2.32192809488736,736,FALSE
OK,negbinomial.size,0.702033229798269,1,G13410,FAM50A,NM_004699,ENSG00000071859,FAM50A,9130,2.50901364748786,1809,FALSE
OK,negbinomial.size,0.997179134544708,1,G1343,ECHDC2,NM_018281+NM_001198961+NM_001198962,ENSG00000121310,ECHDC2,55268,2.61470984411521,1668,FALSE
OK,negbinomial.size,0.672534101151429,1,G13436,RAB39B,NM_171998,ENSG00000155961,RAB39B,116442,2.67807190511264,574,FALSE
OK,negbinomial.size,0.991061564000181,1,G1347,C1orf123,NM_017887,ENSG00000162384,C1orf123,54987,2.44994126774065,1416,FALSE
OK,negbinomial.size,0.869139597318181,1,G1349,CPT2,NM_000098,ENSG00000157184,CPT2,1376,2.67807190511264,1077,FALSE
OK,negbinomial.size,0.473792854779461,1,G1353,YIPF1,NR_036639+NM_018982+NR_036640,ENSG00000058799,YIPF1,54432,2.93859945533586,1172,FALSE
OK,negbinomial.size,0.770053897206562,1,G1359,MRPL37,NM_016491,ENSG00000116221,MRPL37,51253,2.62803122261304,1564,FALSE
